Name,Operating System,Discord Tag,Telegram Tag,Twitter,Cloned the lab repo.,Download dev enviro   https://visualstudio.microsoft.com/,Running Python (3.6 +) For Windows Anaconda.com,Running Jupyter Notebook,Running cadCAD Example,Push to GitHub,What would you like to learn from tec-labs?,Something that we should be mindful of as a community.,Something that we should be grateful for as a community.
Nico,Mac OS,24nico#9513,@24nico,n/a,1,,1,,,,,,
Angela,Mac OS,akrtws#4246,@akrtws,@akrtws,1,Visual Studio Code,pipenv shell + pipenv install jupyter + $ jupyter notebook,1,,,,,
Santi,Mac OS,santigs#9769,@Santigs67,@santigs,1,PyCharm,1,1,,,,,
Jeff,Windows 10,Jeffemmett#7202,@jeffemmett,@jeffemmett,1,1,1,1,,,,,
Samuel,Mac OS,Bau#4021,@cryptononymouseconomist,@cryptononymousEc,1,Conda,1,1,,,"I am looking to learn how to use python with pandas for the purpose of being able to query data, write/manipulate scripts, slice/clean data",I am an amateaur with little hands on experience writing code outside of tutorials or coursework,
Tonga,Mac OS,tonga#3415,@tonga2020,@cryptoshark2018,,,,,,,,,
Jessica,Windows 10,JessicaZartler,@jessicazartler,@jessicazartler,1,Visual Studio Code,Anaconda 1,,,,,,
Craig,windows,AmwFund#0979,@cranders71,@amwfund,1,,1,1,,,,,
Juan Carlos,Mac OS,Juankbell,@juankbell,@bellcho,1,,1,pip3 install jupyter,,,,,
Shawn Anderson,Popos! Linux,ygg_anderson,ygg_anderson,@ygg_anderson,1,,1,,,,,,
Livia,Mac OS,liviade,liviade,@_liviade,"my github is still installing in the desktop so I'll just jump out and catch this up later, thanks so much Ygg!",,,,,,,,
Sebastian,Win10,sbilbao#9715,@sbilbao,,1,Visual Studio Code,1,,,,,,
Dan Knobelsdorf,Windows 10,Dan Knobelsdorf.eth#0326,@knobsDAO,@knobsDAO,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,Python >=3.6,,,,,,